service	instance_id	instance_name	account_id	model_primary	use_codex_oauth	domain	overview	chat
openclaw-cloud	TNF-OC-001	OpenClaw Cloud	c99c8f6e-e3b8-4985-a3a1-34a8d46a5f30	openai-codex/gpt-5.3-codex	true	openclaw-cloud-production-934c.up.railway.app	200	200
openclaw-primary	TNF-OC-002	OpenClaw Primary	8d3de55e-98d9-442d-9e10-1cd6c782c4be	openai-codex/gpt-5.3-codex	true	openclaw-primary-production.up.railway.app	200	200
openclaw-sandbox-cloud	TNF-OC-003	OpenClaw Sandbox Cloud	722969da-1fcd-4d0c-a58c-f7c4b14d44e3	openai-codex/gpt-5.3-codex	true	openclaw-sandbox-cloud-production.up.railway.app	200	200
openclaw-oc004	TNF-OC-004	OpenClaw Expansion 004	13aa9174-f41c-40d4-a2ab-aaa731706006	openai-codex/gpt-5.3-codex	true	openclaw-oc004-production.up.railway.app	200	200
